epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5711.71,1.47226,1.31198,1.55367,0.87634,0.90092,0.92723,0.61313,1.15299,0.92091,1.34213,0.000339673,0.000339673,0.000339673
79,5764.22,1.39087,1.3342,1.46557,0.83289,0.98341,0.92876,0.62454,1.13006,0.8871,1.32516,0.000325526,0.000325526,0.000325526
80,5811.99,1.38627,1.20244,1.42446,0.85746,0.90261,0.92942,0.61613,1.12352,0.88206,1.31144,0.000311379,0.000311379,0.000311379
81,5881.22,1.42221,1.23806,1.51199,0.8789,0.89899,0.90992,0.58966,1.11379,0.89313,1.29146,0.000297232,0.000297232,0.000297232
82,5961.16,1.37936,1.28507,1.48529,0.88417,0.88384,0.88885,0.60174,1.09471,0.87145,1.27056,0.000283085,0.000283085,0.000283085
83,6015.52,1.30455,1.16567,1.38275,0.87194,0.88536,0.88854,0.60657,1.11429,0.87704,1.26992,0.000268938,0.000268938,0.000268938
84,6053.67,1.35345,1.21044,1.467,0.87734,0.89899,0.90281,0.62624,1.12008,0.89779,1.25964,0.000254791,0.000254791,0.000254791
85,6128.75,1.36002,1.22909,1.42192,0.87504,0.89899,0.90317,0.62318,1.09801,0.89448,1.23285,0.000240644,0.000240644,0.000240644
86,6193.66,1.35418,1.21318,1.4612,0.88463,0.89899,0.911,0.64626,1.05201,0.86483,1.18367,0.000226497,0.000226497,0.000226497
87,6252.63,1.3434,1.25905,1.45915,0.85877,0.89899,0.91196,0.65068,1.02749,0.84718,1.17972,0.000212349,0.000212349,0.000212349
88,6295.58,1.27139,1.15967,1.43463,0.87962,0.89598,0.92072,0.66372,0.98448,0.83222,1.16841,0.000198202,0.000198202,0.000198202
89,6370.69,1.34447,1.19598,1.41096,0.87014,0.90625,0.92397,0.64936,0.94568,0.82711,1.1625,0.000184055,0.000184055,0.000184055
90,6446.57,1.35032,1.2122,1.38444,0.86523,0.91519,0.93439,0.65603,0.93072,0.82249,1.15502,0.000169908,0.000169908,0.000169908
